Age,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,Ethnicity_Caucasian,Ethnicity_African_American,Ethnicity_Asian,Ethnicity_Other
0.6666666666666661,0.5,0.99277314327911,0.24137931034482757,1,0.5,0,0,1,0,2.929195591667681,2.0,1,0,0,0
1.0,0.25,0.7712704924672598,0.0,0,0.25,0,0,0,0,3.042914833436377,1.0,1,0,0,0
0.0,0.75,0.21071759210083982,0.896551724137931,0,0.5,0,0,0,0,0.1126022544661815,4.0,0,0,1,0
0.6666666666666661,0.75,0.5019649663815134,0.48275862068965514,0,0.75,1,0,0,0,2.0542181397029484,3.0,1,0,0,0
0.6666666666666661,0.5,0.23384041525028032,0.5862068965517241,1,0.75,0,0,0,0,1.2880611817953875,4.0,1,0,0,0
1.0,0.25,0.409978808138641,0.0,0,0.25,1,0,0,0,3.0841836144863937,1.0,1,0,0,0
0.0,0.25,0.780927801228458,0.3448275862068966,0,0.75,0,1,0,0,2.748237414891583,2.0,0,1,0,0
0.0,1.0,0.7720584095943872,0.7586206896551724,1,0.25,1,0,0,0,1.360142712316461,4.0,0,1,0,0
0.6666666666666661,0.0,0.2283096795161368,0.034482758620689655,0,0.5,0,1,0,1,2.896819189513569,2.0,1,0,0,0
0.33333333333333304,0.25,0.9232304772169081,0.0,0,0.75,1,0,0,0,3.5734742103297656,0.0,1,0,0,0
0.6666666666666661,0.25,0.5931964207598887,0.3793103448275862,0,0.25,0,0,0,0,2.1471716250185144,3.0,1,0,0,0
0.6666666666666661,0.25,0.38030810609900473,0.5172413793103449,0,0.5,0,0,0,1,1.5595945190402771,4.0,1,0,0,0
0.6666666666666661,0.25,0.5024596414143082,0.7241379310344828,0,0.75,1,0,0,0,1.520077814874808,4.0,0,1,0,0
0.6666666666666661,0.5,0.6057138630483863,0.7241379310344828,0,1.0,0,1,0,0,1.7515809583340785,4.0,0,1,0,0
1.0,0.25,0.5604812086169392,0.3103448275862069,1,0.5,0,0,0,0,2.396788117124796,3.0,1,0,0,0
0.0,0.5,0.4869112446328433,0.5862068965517241,1,0.0,0,1,0,0,1.3415207165346672,4.0,1,0,0,0
1.0,0.25,0.5054603098718297,0.48275862068965514,0,0.5,1,1,0,0,2.232175277715976,3.0,0,0,0,1
1.0,0.0,0.1765617988939459,0.5517241379310345,1,0.5,0,0,0,0,1.3844041756940335,4.0,1,0,0,0
1.0,0.75,0.8136142099520923,1.0,0,0.5,1,0,0,1,0.4695533233798704,4.0,0,1,0,0
0.6666666666666661,0.25,0.542330156996654,0.3103448275862069,0,0.5,0,0,1,0,2.3957840945307,3.0,1,0,0,0
0.33333333333333304,0.75,0.13117764338877522,0.06896551724137931,0,0.75,0,0,0,1,2.778411299920653,2.0,1,0,0,0
0.0,0.5,0.7669848708190495,0.8620689655172413,0,0.25,1,0,0,0,0.3468940367050148,4.0,1,0,0,0
0.33333333333333304,0.0,0.9334628855454075,1.0,1,0.25,0,0,0,0,0.3125462305253549,4.0,0,1,0,0
1.0,1.0,0.9483428905430347,0.6896551724137931,0,0.5,1,0,0,0,1.7701318767799732,4.0,0,0,0,1
1.0,0.25,0.36938901103846067,0.5172413793103449,0,0.5,0,0,0,0,1.5051556220362858,4.0,1,0,0,0
0.33333333333333304,0.75,0.13561975535426246,0.1724137931034483,0,1.0,0,0,1,0,2.977851918315743,2.0,1,0,0,0
0.33333333333333304,0.25,0.5189426118126567,0.06896551724137931,0,0.5,0,1,0,0,2.948717671911921,2.0,1,0,0,0
0.33333333333333304,0.75,0.11268578002255256,0.27586206896551724,0,0.75,0,0,1,0,2.145204720467192,3.0,1,0,0,0
1.0,0.0,0.9350080997831225,0.3448275862068966,0,0.75,1,0,0,0,2.854803928981318,2.0,1,0,0,0
1.0,0.5,0.18373775473106746,0.6896551724137931,0,0.75,1,0,0,0,1.519441725815139,4.0,1,0,0,0
0.0,0.5,0.25300351322631065,0.41379310344827586,1,0.0,0,1,0,0,1.727120309522409,4.0,0,0,1,0
